Breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
affenpinscher,"Confident, Famously Funny, Fearless",148,22.86,29.21,3.17514659,4.5359237,12.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing
afghan_hound,"Dignified, Profoundly Loyal, Aristocratic",113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,0.8,Daily Brushing,0.2,Infrequent,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary
airedale,"Friendly, Clever, Courageous",60,58.42,58.42,22.6796185,31.7514659,11.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
akita,"Courageous, Dignified, Profoundly Loyal",47,60.96,71.12,31.7514659,58.9670081,10.0,13.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
malamute,"Affectionate, Loyal, Playful",58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
american_bulldog,"Loyal, Self-Confident",,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
american_english_coonhound,"Sweet, Mellow, Sociable",175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
eskimo_dog,"Playful, Perky, Smart",122,22.86,48.26,2.72155422,15.87573295,13.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,1.0,Outgoing
american_foxhound,"Independent, Easy-Going, Sweet-Tempered",186,53.34,63.5,27.2155422,31.7514659,11.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
american_hairless_terrier,"Energetic, Alert, Curious",136,30.48,40.64,5.44310844,7.25747792,14.0,16.0,Terrier Group,,,,,,,,,,
american_leopard_hound,"Sociable, Energetic, Intelligent",,53.34,68.58,20.41165665,31.7514659,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
american_staffordshire_terrier,"Confident, Smart, Good-Natured",85,43.18,48.26,18.1436948,31.7514659,12.0,16.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
american_water_spaniel,"Eager, Happy, Charming",166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
anatolian_shepherd_dog,"Loyal, Independent, Reserved",90,68.58,73.66,36.2873896,68.0388555,11.0,13.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
appenzeller,"Agile, Versatile, Lively",,48.26,55.88,21.77243376,31.7514659,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
australian_cattle_dog,"Alert, Curious, Pleasant",55,43.18,50.8,15.87573295,22.6796185,12.0,16.0,Herding Group,0.2,Occasional Bath/Brush,0.8,Regularly,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
kelpie,"Loyal, Alert, Intelligent",,43.18,50.8,,,10.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
australian_shepherd,"Smart, Work-Oriented, Exuberant",17,45.72,58.42,18.1436948,29.48350405,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive
australian_stumpy_tail_cattle_dog,"Alert, Trainable, Comical",,43.18,50.8,14.51495584,20.41165665,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
australian_terrier,"Affectionate, Courageous, Spirited",140,25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly
azawakh,"Loyal, Independent, Deeply Affectionate",of,59.69,73.66,14.96854821,24.94758035,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.8,Friendly
barbet,"Friendly, Bright, Sweet-Natured",of,48.26,62.23,15.87573295,29.48350405,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
basenji,"Independent, Smart, Poised",87,40.64,43.18,9.97903214,10.88621688,13.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
basset_fauve_de_bretagne,"Smart, Cheerful, Determined",,31.75,39.37,12.24699399,15.87573295,12.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,1.0,Outgoing
basset,"Charming, Patient, Low-Key",39,38.1,38.1,18.1436948,29.48350405,12.0,13.0,Hound Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.2,Couch Potato,0.4,Independent,0.8,Friendly
bavarian_mountain_scent_hound,"Loyal, Versatile, Reserved with Strangers",,43.18,52.07,16.78291769,29.93709642,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
beagle,"Friendly, Curious, Merry",6,33.02,38.1,5.89670081,13.6077711,10.0,15.0,Hound Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly
bearded_collie,"Smart, Bouncy, Charismatic",127,50.8,55.88,20.41165665,24.94758035,12.0,14.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,1.0,Outgoing
beauceron,"Gentle, Faithful, Obedient",124,60.96,69.85,31.7514659,49.8951607,10.0,12.0,Herding Group,0.6,2-3 Times a Week Brushing,1.0,Frequent,1.0,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers
bedlington_terrier,"Loyal, Charming, Frollicking",141,38.1,44.45,7.71107029,10.43262451,11.0,16.0,Terrier Group,0.6,2-3 Times a Week Brushing,,,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
belgian_laekenois,"Affectionate, Alert, Intelligent",,55.88,66.04,24.94758035,29.48350405,10.0,12.0,Miscellaneous Class,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
malinois,"Confident, Smart, Hardworking",43,55.88,66.04,18.1436948,36.2873896,14.0,16.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
belgian_sheepdog,"Bright, Watchful, Serious-Minded",125,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
belgian_tervuren,"Courageous, Alert, Intelligent",106,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
bergamasco_sheepdog,"Independent, Sociable, Intelligent",187,55.88,59.69,25.85476509,38.10175908,13.0,15.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers
berger_picard,"Loyal, Good-Natured, Observant",144,54.61,64.77,22.6796185,31.7514659,12.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.6,Alert/Responsive
bernese_mountain_dog,"Good-Natured, Calm, Strong",22,58.42,69.85,31.7514659,52.16312255,7.0,10.0,Working Group,0.6,2-3 Times a Week Brushing,1.0,Frequent,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
bichon_frise,"Playful, Curious, Peppy",46,24.13,29.21,5.44310844,8.16466266,14.0,15.0,Non-Sporting Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing
biewer_terrier,"Intelligent, Devoted, Amusing",,17.78,27.94,1.81436948,3.62873896,16.0,16.0,Miscellaneous Class,0.6,2-3 Times a Week Brushing,,,0.4,Calm,1.0,Eager to Please,1.0,Outgoing
black-and-tan_coonhound,"Easy-Going, Bright, Brave",138,58.42,68.58,29.48350405,49.8951607,10.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.8,Friendly
black_russian_terrier,"Intelligent, Calm, Powerful",118,66.04,76.2,36.2873896,58.9670081,10.0,12.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers
bloodhound,"Friendly, Independent, Inquisitive",49,58.42,68.58,36.2873896,49.8951607,10.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
bluetick,"Smart, Devoted, Tenacious",130,53.34,68.58,20.41165665,36.2873896,11.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly
boerboel,"Confident, Intelligent, Calm",121,55.88,68.58,68.0388555,90.718474,9.0,11.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers
bohemian_shepherd,"Friendly, Devoted, Alert and Intelligent",,49.022,55.118,16.78291769,27.2155422,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
bolognese,"Playful, Easy-Going, Devoted",,25.4,30.48,2.494758035,4.08233133,12.0,14.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.4,Calm,0.6,Agreeable,0.8,Friendly
border_collie,"Affectionate, Smart, Energetic",35,45.72,55.88,13.6077711,24.94758035,12.0,15.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
border_terrier,"Affectionate, Happy, Plucky",88,30.48,38.1,5.216312255,7.030681735,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
borzoi,"Affectionate, Loyal, Regally Dignified",103,66.04,71.12,27.2155422,47.62719885,9.0,14.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
boston_terrier,"Friendly, Bright, Amusing",21,38.1,43.18,5.44310844,11.33980925,11.0,13.0,Non-Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing
bouvier_des_flandres,"Affectionate, Courageous, Strong-Willed",84,59.69,69.85,31.7514659,49.8951607,10.0,12.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
boxer,"Bright, Fun-Loving, Active",11,54.61,63.5,6.80388555,36.2873896,10.0,12.0,Working Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,1.0,Outgoing
